array size(KB),stride 16(ns),stride 32(ns),stride 64(ns),stride 128(ns),stride 256(ns),stride 512(ns),stride 1024(ns),stride 2048(ns),stride 4096(ns),stride 8192(ns)
3328,1.914,2.907,4.6,7.665,21.325,22.971,22.404,22.258,21.139,19.66
3584,1.898,2.913,4.605,7.794,20.522,22.026,23.011,21.915,21.173,19.69
3840,1.848,2.903,4.6,7.66,21.589,22.972,21.344,22.156,22.403,19.884
4096,1.953,2.901,4.602,7.605,20.223,21.968,22.068,23.376,21.541,19.938
4608,1.926,2.912,4.604,7.404,21.324,22.981,21.333,22.76,22.355,19.977
5120,2.026,2.906,4.605,7.805,20.519,21.971,23.587,23.236,21.891,20.174
5632,1.88,2.913,4.605,7.666,21.769,22.98,21.34,22.024,21.292,20.315
6144,1.906,2.906,4.606,7.406,21.269,22.015,23.313,23.198,22.395,20.688
6656,1.889,2.903,4.613,7.599,20.589,22.981,21.973,22.197,21.829,20.507
7168,1.941,2.906,4.614,7.66,20.572,21.975,22.017,22.126,22.322,20.62
7680,1.967,2.903,4.606,7.792,21.6,22.947,21.96,23.636,21.882,20.61
8192,1.904,2.906,4.636,7.677,21.789,21.32,22.012,21.985,20.942,20.704
9216,1.879,2.913,4.61,7.793,23.082,23.018,21.283,23.239,22.589,20.891
10240,1.886,2.902,4.63,8.276,26.381,22.81,20.883,22.419,21.875,21.238
11264,1.9,2.913,4.644,7.587,21.298,22.577,21.283,23.262,23.384,20.945
12288,1.889,2.947,4.697,10.497,25.787,22.405,22.286,23.546,21.475,21.01
13312,1.916,2.907,4.707,10.972,21.918,25.136,21.391,28.073,24.805,21.123
14336,2.049,3.239,5.01,8.175,21.169,23.109,26.72,23.878,22.305,21.276
15360,2.018,2.985,4.976,11.139,34.666,28.554,23.494,34.505,27.536,22.133
16384,2.19,3.539,5.347,10.737,26.578,27.484,33.06,36.345,23.666,23.021
18432,2.329,3.428,5.705,12.244,37.134,32.558,29.731,29.865,29.72,32.591
20480,2.539,3.656,6.297,16.006,39.477,39.067,38.338,41.056,34.869,42.438
22528,2.737,3.786,6.47,16.976,42.843,40.127,39.711,40.405,40.638,48.731
24576,2.642,3.813,6.78,17.847,45.196,44.643,46.995,44.364,45.81,54.887
26624,2.861,3.856,6.712,18.948,47.223,46.725,47.125,49.293,48.288,43.803
28672,2.757,3.858,6.962,19.695,52.091,49.176,50.638,51.772,50.857,45.845
30720,2.965,3.92,7.14,20.408,53.872,52.856,53.482,54.171,54.51,70.337
32768,2.896,4.013,7.227,20.835,55.607,53.641,55.356,56.507,57.334,74.964
36864,3.066,3.998,7.185,21.754,60.439,57.999,59.789,59.503,61.21,80.874
40960,3.095,4.091,7.271,22.488,63.893,60.113,61.07,63.722,65.059,83.243
45056,3.088,4.078,7.391,22.643,66.779,64.861,64.722,66.929,65.951,83.91
49152,3.208,4.123,7.403,23.287,68.119,66.199,65.49,68.424,67.888,63.447
53248,3.241,4.158,7.492,23.544,71.549,67.496,67.923,70.336,71.07,88.506
57344,3.191,4.18,7.56,24.52,75.279,68.142,69.858,72.166,70.9,90.825
61440,3.03,4.182,7.484,24.367,74.47,70.299,70.466,72.953,72.806,69.822
65536,3.238,4.206,7.532,24.672,74.304,69.959,71.162,72.812,73.598,91.036
73728,3.047,4.194,7.594,25.037,77.045,73.641,72.56,75.487,77.814,90.921
81920,3.103,4.274,7.649,25.692,78.143,75.657,73.18,75.654,77.956,74.603
90112,3.375,4.219,7.624,25.683,80.31,76.337,74.229,76.951,80.051,91.35
98304,3.12,4.285,7.697,26.198,80.591,78.241,75.438,76.906,79.778,91.614
